Date;isin;name;country;sec_curr;ICB_ind;ICB_ind_name;infocode
2017-09-18;GB00BMSKPJ95;AA PLC;GB;GBP;2000.0;Industrials;276641
2017-09-18;GB00B1Z4ST84;PROVIDENT FINANCIAL;GB;GBP;8000.0;Financials;46034
2017-09-18;FR0011594233;SFR GROUP;FR;EUR;6000.0;Telecommunications;269524
2017-09-18;NL0009739416;POSTNL;NL;EUR;2000.0;Industrials;37658
2017-09-18;IT0004827447;UNIPOLSAI;IT;EUR;8000.0;Financials;46976
2017-09-18;DE0007480204;DEUTSCHE EUROSHOP;DE;EUR;8000.0;Financials;18120
2017-09-18;ES0152503035;MEDIASET ESPANA COMUNICACION;ES;EUR;5000.0;Consumer Services;19091
2017-09-18;NO0003028904;SCHIBSTED GRUPPEN;NO;NOK;5000.0;Consumer Services;23532
2017-09-18;SE0000806994;JM;SE;SEK;8000.0;Financials;41592
2017-09-18;GB00B0LCW083;HIKMA PHARMACEUTICALS;GB;GBP;4000.0;Health Care;27926
2017-09-18;GB00B3MBS747;OCADO;GB;GBP;5000.0;Consumer Services;235175
2017-09-18;DE0007251803;STADA ARZNEIMITTEL;DE;EUR;4000.0;Health Care;37214
2017-09-18;JE00B5TT1872;CENTAMIN;GB;GBP;1000.0;Basic Materials;9225
2017-09-18;GB00B62G9D36;CAPITAL & COUNTIES PROPERTIES;GB;GBP;8000.0;Financials;231194
2017-09-18;SE0000117970;NCC B;SE;SEK;2000.0;Industrials;40943
2017-09-18;ES0184262212;VISCOFAN;ES;EUR;3000.0;Consumer Goods;40226
2017-09-18;IT0005252140;SAIPEM;IT;EUR;1.0;Oil & Gas;46234
2017-09-18;GB0009457366;DAILY MAIL & GENERAL TRUST;GB;GBP;5000.0;Consumer Services;46329
2017-09-18;GB00B1ZBKY84;MONEYSUPERMARKET COM GP.;GB;GBP;5000.0;Consumer Services;138250
2017-09-18;GB00B0HZP136;GREENE KING;GB;GBP;5000.0;Consumer Services;45909
2017-09-18;DK0060738599;WILLIAM DEMANT;DK;DKK;4000.0;Health Care;3656
2017-09-18;IT0000066123;BPER Banca;IT;EUR;8000.0;Financials;23230
2017-09-18;NO0003078800;TGS-NOPEC GEOPHYSICAL;NO;NOK;1.0;Oil & Gas;45712
2017-09-18;DE000A0LD6E6;GERRESHEIMER;DE;EUR;4000.0;Health Care;136529
2017-09-18;GB00B4Y7R145;DIXONS CARPHONE;GB;GBP;5000.0;Consumer Services;21262
2017-09-18;BE0974276082;ONTEX GROUP;BE;EUR;3000.0;Consumer Goods;276698
2017-09-18;GB00BZ0XJR39;GREAT PORTLAND ESTATES;GB;GBP;8000.0;Financials;46057
2017-09-18;CH0225173167;CEMBRA MONEY BANK;CH;CHF;8000.0;Financials;269373
2017-09-18;IT0003261697;AZIMUT HLDG;IT;EUR;8000.0;Financials;19312
2017-09-18;DE0005408116;AAREAL BANK;DE;EUR;8000.0;Financials;7146
2017-09-18;GB0000282623;AMEC FOSTER WHEELER;GB;GBP;1.0;Oil & Gas;46072
2017-09-18;DE000SHA0159;SCHAEFFLER AG;DE;EUR;3000.0;Consumer Goods;285657
2017-09-18;GB0000961622;BALFOUR BEATTY;GB;GBP;2000.0;Industrials;45932
2017-09-18;DE0003304002;SOFTWARE;DE;EUR;9000.0;Technology;39645
2017-09-18;SE0000872095;SWEDISH ORPHAN BIOVITRUM;SE;SEK;4000.0;Health Care;32535
2017-09-18;ES0115056139;BOLSAS Y MERCADOS ESPANOLES;ES;EUR;8000.0;Financials;31874
2017-09-18;GB0006834344;Intu Properties PLC;GB;GBP;8000.0;Financials;35626
2017-09-18;SE0007871645;KINDRED GROUP;SE;SEK;5000.0;Consumer Services;18928
2017-09-18;DK0060495240;SIMCORP;DK;DKK;9000.0;Technology;19125
2017-09-18;DK0060636678;TRYG;DK;DKK;8000.0;Financials;27315
2017-09-18;SE0000455057;FASTIGHETS BALDER B;SE;SEK;8000.0;Financials;12537
2017-09-18;SE0007074281;HEXPOL 'B';SE;SEK;1000.0;Basic Materials;152269
2017-09-18;AT0000831706;WIENERBERGER;AT;EUR;2000.0;Industrials;52443
2017-09-18;SE0000936478;INTRUM JUSTITIA;SE;SEK;8000.0;Financials;7679
2017-09-18;CH0267291224;SUNRISE;CH;CHF;6000.0;Telecommunications;280750
2017-09-18;GB00B0N8QD54;BRITVIC;GB;GBP;3000.0;Consumer Goods;28366
2017-09-18;BE0003593044;COFINIMMO;BE;EUR;8000.0;Financials;3532
2017-09-18;GB0009292243;VICTREX;GB;GBP;1000.0;Basic Materials;42312
2017-09-18;CH0126673539;DKSH HOLDING;CH;CHF;2000.0;Industrials;260445
2017-09-18;GB0007990962;SHAFTESBURY;GB;GBP;8000.0;Financials;48566
2017-09-18;SE0002683557;LOOMIS B;SE;SEK;2000.0;Industrials;170668
2017-09-18;GB00BZ02MH16;NEX GROUP;GB;GBP;8000.0;Financials;38401
2017-09-18;IT0005211237;ITALGAS;IT;EUR;7000.0;Utilities;293572
2017-09-18;FR0000077919;JCDECAUX;FR;EUR;5000.0;Consumer Services;9403
2017-09-18;GB0009697037;BABCOCK INTERNATIONAL;GB;GBP;2000.0;Industrials;45936
2017-09-18;IT0001233417;A2A;IT;EUR;7000.0;Utilities;38079
2017-09-18;JE00BYVQYS01;IWG PLC;GB;GBP;2000.0;Industrials;10950
2017-09-18;DK0010311471;SYDBANK;DK;DKK;8000.0;Financials;40104
2017-09-18;NL0009432491;VOPAK;NL;EUR;2000.0;Industrials;13568
2017-09-18;FR0000124570;PLASTIC OMNIUM;FR;EUR;3000.0;Consumer Goods;46804
2017-09-18;SE0000950636;FABEGE;SE;SEK;8000.0;Financials;35479
2017-09-18;CH0043238366;ARYZTA;CH;CHF;3000.0;Consumer Goods;153561
2017-09-18;FR0000035081;ICADE;FR;EUR;8000.0;Financials;46950
2017-09-18;NL0000852580;BOSKALIS WESTMINSTER;NL;EUR;2000.0;Industrials;46691
2017-09-18;BE0974268972;BPOST SA;BE;EUR;2000.0;Industrials;267402
2017-09-18;GB00BVFNZH21;ROTORK;GB;GBP;2000.0;Industrials;46323
2017-09-18;NL0006294274;EURONEXT;FR;EUR;8000.0;Financials;276619
2017-09-18;GB00B2PDGW16;NEW WH SMITH;GB;GBP;5000.0;Consumer Services;46012
2017-09-18;SE0000108847;LUNDBERGFORETAGEN B;SE;SEK;8000.0;Financials;41593
2017-09-18;CH0000816824;OC OERLIKON;CH;CHF;2000.0;Industrials;47794
2017-09-18;DK0060745370;NETS AS;DK;DKK;2000.0;Industrials;292749
2017-09-18;FR0000120859;IMERYS;FR;EUR;1000.0;Basic Materials;46410
2017-09-18;LU0061462528;RTL GRP;LU;EUR;5000.0;Consumer Services;12644
2017-09-18;GB00BRS65X63;INDIVIOR;GB;GBP;4000.0;Health Care;280130
2017-09-18;SE0000862997;BILLERUDKORSNAS;SE;SEK;1000.0;Basic Materials;9213
2017-09-18;GB00B0ZSH635;LADBROKES CORAL;GB;GBP;5000.0;Consumer Services;46311
2017-09-18;ES0143416115;SIEMENS GAMESA;ES;EUR;1.0;Oil & Gas;11458
2017-09-18;GB0001500809;TULLOW OIL;GB;GBP;1.0;Oil & Gas;254537
2017-09-18;FR0011950732;ELIOR GROUP;FR;EUR;5000.0;Consumer Services;276422
2017-09-18;GB0031698896;WILLIAM HILL;GB;GBP;5000.0;Consumer Services;9263
2017-09-18;DE0006766504;AURUBIS;DE;EUR;1000.0;Basic Materials;37710
2017-09-18;GB00BK1PTB77;AGGREKO;GB;GBP;2000.0;Industrials;45442
2017-09-18;IE0033024807;UDG HEALTHCARE PUBLIC;GB;GBP;4000.0;Health Care;35623
2017-09-18;GB00BLT1Y088;SAGA;GB;GBP;5000.0;Consumer Services;276095
2017-09-18;DE0005565204;DUERR;DE;EUR;2000.0;Industrials;41224
2017-09-18;CH0011795959;dorma+kaba;CH;CHF;2000.0;Industrials;42120
2017-09-18;NL0000360618;SBM OFFSHORE;NL;EUR;1.0;Oil & Gas;46606
2017-09-18;GB00B06QFB75;IG GRP HLDG;GB;GBP;8000.0;Financials;23757
2017-09-18;GB0001001592;BTG;GB;GBP;4000.0;Health Care;2061
2017-09-18;DE0005501357;SPRINGER (AXEL);DE;EUR;5000.0;Consumer Services;39931
2017-09-18;FR0012757854;SPIE;FR;EUR;2000.0;Industrials;283502
2017-09-18;CH0021783391;PARGESA;CH;CHF;8000.0;Financials;52462
2017-09-18;SE0000652216;ICA GRUPPEN;SE;SEK;5000.0;Consumer Services;28444
2017-09-18;FR0000050809;SOPRA STERIA GROUP;FR;EUR;9000.0;Technology;35498
2017-09-18;GB0007668071;CLOSE BROTHERS GRP;GB;GBP;8000.0;Financials;46187
2017-09-18;SE0000112385;SAAB B;SE;SEK;2000.0;Industrials;37643
2017-09-18;FI0009000285;AMER SPORTS;FI;EUR;3000.0;Consumer Goods;48187
2017-09-18;GB00B5N0P849;WOOD GRP (JOHN);GB;GBP;1.0;Oil & Gas;9261
2017-09-18;NL0000334118;ASM INTERNATIONAL;NL;EUR;9000.0;Technology;44541
2017-09-18;DE0006070006;HOCHTIEF;DE;EUR;2000.0;Industrials;46882
2017-09-18;FR0000064578;FONCIERE DES REGIONS;FR;EUR;8000.0;Financials;40926
