;ES0178174019;IT0001464921;DE0006605009;FI0009000665;SE0000862997;IT0001465159;ES0161560018;NO0005668905;GB0001638955;GB0001421626;CH0012022494;GB0007981128;FR0000121121;GB0004052071;GB0001921781;FR0000045528;FR0000034639;GB0001430023;GB0000319581;ES0117160111;FI0009000459;GB0003308607;IT0001464921;GB0030738610;CH0002088976;IT0001469383;GB0009465807;IT0001464921;DE0005128003;GB0001583078;GB0033029744;ES0184940817;ES0130960018;GB0002502812;DE0007297004;IT0001464921;DK0010181759;DE0006569908;GB0001762680;FI0009000285;FR0000125684;SE0000171100;GB0031638363;IT0001464921;IT0001464921;GB0003294591;FI0009002422;FR0000130304;DE0007765638;IE0004554287;NL0000343135;IE0002424939;ES0113980330;ES0171743117;NL0000200889;DE0008400029;SE0000695876;DK0010287234;IT0001464921;AT0000937503;GRS074083007;SE0000110165;GB0009165613;FR0000120966;FI0009000202;SE0000114837;IT0001119087;SE0000104416;IT0001464921;GRS004013009;IT0001233417;IT0001453924;DE0005785638;DE0007771172;SE0000164477;CH0000816824;FR0000121204;ES0112501012;PTCPR0AM0003;GB0005203376;GB0005758098;CH0012280076;GB0002303468;IT0003039010;IT0001464921;GB0000456144;DE0005753008;GB0008218694;IT0001464921;CH0014786500;FI0009007835;IE0004614818;FR0000077919;NO0003053605;CH0010570759;IT0001464921;IT0001464921;IT0001464921;NL0000354934;DE0007251803;CH0012337421;IT0001423562;IT0001464921;DK0010262674;GB0033126615;FR0000121964;GB0003318416;IT0001464921;ES0184933812;SE0000718017;IT0000082963;IT0001464921;NL0000344265;GB0005145239;IT0001464921;GB0006466089;SE0000500308;GB0004564430;IT0000072725;DK0010259530;FR0000120685;IT0001464921;FR0000125379;NL0000390979;DK0010272632;IT0001464921;GB0006215205;ES0125220311;IT0003152417;ES0173093115;GB0002405495;IT0001464921;FR0000120560;IT0001464921;BE0003626372;CH0001441580;GB0000154020;AT0000809058;GB0001915395;GRS006013007;IT0001137345;DE0006602006;GB0000282623;GB0000904986;FR0000121881;GB0005576813;ES0118594417;FI0009007694;NL0000379121;GB0031575722
2001-02-28;106.6892;;283.29761;152.03849;;1961.3777;249.02866;1002.041;14.24329;199.6098;1711.1922;5.564919;12114.235;239.76069999999999;2.483536;1097.626;24983.92;203.14325;1.8135158000000002;229.53483;223.99926;9.121011;;;546.98072;592.53541;71.31621100000001;;225.58062;0.1460526;;4153.8516;;1.9696969999999998;98.69986;;2577.4148;354.92701;1.8226788999999999;120.27007;2182.747;261.1975;;;;68.42625;220.15517;;318.16724;;2780.2908;4.7530152;570.26221;78.12505;;111.94434;;451.26124;;158.63431;11135.872;1939.314;2.3033355;2430.756;274.83863;480.77588;;362.9717;;3272.5484;313.48877;332.17383;417.17261;258.26734;279.9397;304.34449;539.22657;123.47661;477.0149;10.72105;123.6379;579.0027;842.2994;182.64861;;249.52344000000002;130.66822;0.8222429;;198.2034;440.10865;211349.3;;730.1772;1562.2864;;;;1071.033;163.41585;195.6782;64.343735;;2018.8885;4.909585;352.72876;785.0188;;1064.4473;127.381;1457.421;;10472.19;300.8695;;134.3621;207.237;5.225818;2633.6395;257.8677;230.40821;;11.779935;278.0552;;;6.5821509;667.20044;7.3366137;138.5137;905.2431;;171.3333;;82.256455;543.5625;1.167286;149.83942;8.7608228;5103.129;497.18555;34.857773;8.569856;57.16047;7113.9415;1.245097;157.19106;1162.3426;488.2432;
2001-03-01;105.2498;;279.87671;147.95693;;1945.2015;250.78858;977.675;14.27912;198.5009;1680.2276;5.564919;11852.508;246.4207;2.4907880000000002;1105.741;23433.2;203.14325;1.8057671;225.36135;222.14065;8.887139;;;530.40552;565.87134;70.88832099999999;;206.4516;0.1460526;;4035.9927;;2.014555;99.255921;;2577.4148;326.10816;1.8366630000000002;120.74167;2083.6;254.2876;;;;69.40379;213.92637;;313.15748;;2742.1468;4.7530127;575.44654;76.44234;;109.81432;;436.45752;;158.83289;11124.34;1892.014;2.3033355;2486.001;271.22242;474.40796;;370.9199;;3272.5484;310.48584;319.78248;403.86353;245.79926;273.7644;288.61036;536.0105;122.8066;477.8276;10.7094;123.0477;559.7026;832.3356;177.96531;;240.29106;130.66822;0.8411206;;195.1134;443.07984;212833.6;;724.1921;1554.0203;;;;1071.033;160.97156;188.3219;61.124985;;2092.7503;4.7661792;351.73047;774.6894;;1050.1731;135.7143;1352.132;;10123.12;301.21299999999997;;134.8579;205.6429;5.225818;2655.5862;260.4082;228.12693;;11.89003;292.3284;;;6.5038794;659.28907;7.4024144;135.1033;870.7213;;173.99993;;81.603653;505.24781;1.174721;150.12755;8.6893042;5020.918;486.94678;34.738404;8.559367700000001;56.8327;7043.7383;1.266832;155.18764;1186.064;493.9534;
2001-03-02;107.4513;;292.31592;149.9977;;1850.1656;258.70801;986.8123;14.31495;198.5009;1662.3008;5.4558029999999995;11859.985;247.37220000000002;2.4907880000000002;1107.022;24467.01;206.50098000000003;1.7980169000000001;227.67989;230.10593;8.793588999999999;;;513.83033;568.83399;70.88832099999999;;213.38707;0.1460526;;4116.4805;;2.096117;99.742463;;2720.6045;310.94019;1.8320011999999999;124.75069;2098.204;255.6696;;;;72.010508;214.14116;;309.52002;;2664.1631;4.7530152;576.74244;78.60576;;110.37287;;454.32422;;158.03872;11187.743;1866.214;2.3033355;2441.279;272.42774;477.5918;;369.1536;;3281.6768;308.08375;314.56519;410.74756;240.36673;279.9397;291.30762;535.47437;123.95522;479.6155;10.825930000000001;122.7527;554.8777;830.8031;177.96531;;240.29106;130.33315;0.8579007;;192.6855;443.82251;210686.3;;730.1772;1587.0845;;;;1089.1863;159.22567;191.7548;62.124985;;2127.219;4.6396436;352.72876;770.5581;;1060.3689;130.9524;1241.301;;10375.23;305.678;;131.6351;201.6575;5.225818;2677.5337;259.1379;228.12693;;12.000116;299.9165;;;6.3659766;662.80518;7.4517613;136.2838;845.405;;186.66666;;81.976685;516.61597;1.144981;150.41572;8.6893042;5055.8594;497.59498;34.619019;8.559367700000001;56.96383;7535.1563;1.294776;156.11228;1214.5293;486.8154;
2001-03-05;114.3099;;277.69996;152.24256;;1870.386;255.18837;1005.087;14.386610000000001;195.7285;1670.4495;5.4558029999999995;11815.118;247.37220000000002;2.494413;1089.511;24294.71;206.50098000000003;1.7902665999999998;227.03077;232.7609;9.027460999999999;;;513.83033;570.61158;72.172032;;220.48385;0.1460526;;4038.8672;;2.1287409999999998;99.950989;;2734.9234;320.43531;1.8320011999999999;123.9489;2121.261;259.8154;;;;70.055469;214.78553;;312.95142;;2572.6167;4.7212208;565.72608;80.72116;;108.86765;;446.1565;;158.83289;11262.672;1745.813;2.3033355;2475.478;276.04419;474.40796;;376.2188;;3286.2413;309.28492;331.52173;395.75562;245.79926;273.7644;297.15162;522.61011;122.51943;520.0847;10.83759;128.9493;583.8276;806.2775;170.0037;;238.29489;130.33315;0.8704863;;191.5819;442.33692;209991.6;;718.2073;1653.2129;;;;1119.4415;157.82897;201.0728;64.874985;;2117.3709;4.7535254;352.72876;770.5581;;1063.4278;130.9524;1191.427;;10084.33;307.0518;;132.37879999999998;200.8605;5.225818;2619.0084;241.3541;228.12693;;12.440486;298.1099;;;6.3771583;668.07959;7.4353114;138.3825;790.1694;;193.33333;;82.349732;514.51075;1.144981;150.41572;8.707182699999999;5059.9688;501.69043;34.428025;8.6852393;56.96383;7371.3555;1.2978809999999998;160.88967;1232.5577;492.5261;
2001-03-06;122.0999;;282.98658;155.30375;;1852.1878;263.9878;1078.184;14.60161;198.5009;1670.4495;5.4558029999999995;11725.383;247.37220000000002;2.53067;1113.428;25793.74;206.50098000000003;1.7902665999999998;235.47027;231.07934;9.261333;;;510.51539;602.6084;72.314649;;229.99996;0.1460526;;4240.0899;;2.181755;101.48014;;2734.9234;351.89332;1.7714010999999998;124.04319;2094.361;261.1975;;;;70.055469;214.78553;;317.4126;;2564.1412;4.7212208;565.72608;85.81731;;112.65435;;456.87647;;159.7759;11158.922;1754.413;2.3033355;2441.279;274.83863;483.95972;;385.0503;;3295.3694;318.8938;364.34766;371.73804;240.45588;277.8811;310.18848;520.73414;123.18947;487.5793;10.94247;133.0804;588.6528;830.0369000000001;177.02866;;258.00719000000004;130.66822;0.8725842;;192.0233;443.82251;213656.5;;736.1624;1574.6854;;;;1095.2366;162.01915;214.5594;67.8125;;2107.5228;4.7113453;343.74415;785.0188;;1075.6626;129.7619;1260.142;;10142.51;314.2645;;134.8579;199.2663;5.225818;2684.8489;248.9759;229.26757;;12.330402;307.1436;;;6.4107007;665.44214;7.501112;142.1864;822.39;;191.3333;;82.442994;542.29932;1.100372;150.70386;8.707182699999999;5031.1954;501.69043;34.38028;8.8216041;56.8327;7511.754;1.2854619999999999;168.59511;1186.064;485.3882;
2001-03-07;119.3903;;286.06519;154.07927;;1858.2537;260.46802;1059.909;14.60161;197.94639999999998;1693.2654;5.4558029999999995;11717.903;247.37220000000002;2.53067;1110.439;26069.43;204.82215;1.7902665999999998;235.09922;230.10593;9.280042;;;512.17286;597.86817;72.029375;;231.54838;0.1513158;;4240.0899;;2.185833;101.48014;;2734.9234;381.92554;1.7387701999999998;123.57158;2094.361;262.5793;;;;70.055469;211.77852;;316.0398;;2700.6116;4.7530152;568.96631;84.56734;;114.5477;;456.87647;;162.05916;11089.758;1827.513;2.3033355;2449.171;272.90992;490.32764;;393.8816;;3293.0872;332.10596;366.95606;351.85084;240.45588;275.8228;307.04175;536.0105;120.50934;485.3037;10.91916;139.8672;609.1592;836.9344;185.45858;;262.74817;130.53417;0.8558034000000001;;192.6855;445.67969;208601.3;;730.1772;1603.6167;;;;1134.5689;164.11426;214.5594;66.281235;;2117.3709;4.8589722;353.72706;782.9531;;1060.3689;127.9762;1229.11;;9987.367;324.5682;;131.88309999999998;201.6575;5.225818;2662.9021;266.7598;232.00509;;12.440486;306.2402;;;6.3957935;676.87012;7.5504599;142.3176;833.8975;;179.39992;;82.069962;539.35206;1.1152419999999998;150.41572;8.6714234;4990.0938;501.28101;33.902771;9.0838404;56.7016;7717.6875;1.257517;167.05402;1167.0867;478.25;
2001-03-08;107.3666;;277.69996;158.16085;;1860.2759;258.70801;1066.001;14.476199999999999;196.283;1564.5186;5.4558029999999995;11800.161;247.37220000000002;2.527044;1122.824;25845.43;205.24187999999998;1.7902665999999998;226.28882;230.10593;9.373591;;;513.83033;585.42505;71.458829;;228.3097;0.1513158;;4067.6136;;2.185833;100.78508;;2734.9234;373.73511;1.6222306;124.98653;2136.633;263.9614;;;;65.167891;211.56374;;316.31446;;2729.4327;4.7689112;567.02222;81.7308;;112.65435;;469.63843;;163.34964;11314.551;1866.214;2.3033355;2483.37;271.46338;487.1438;;398.2974;;3560.0948;330.3042;358.69556;351.85084;239.20894;279.9397;298.50025;528.50635;118.97785;487.5793;10.91916;146.9491;615.1904;873.7230999999999;184.52193;;267.98816999999997;130.66822;0.8243404;;193.1269;445.67969;210813.6;;736.1624;1587.0845;;;;1134.5689;163.41585;197.6399;65.562485;;2117.3709;4.7872681;349.40113;782.9531;;1080.7608;126.1905;1275.659;;9812.828;318.7294;;138.8243;200.8605;5.225818;2640.9554;279.4626;232.23319;;12.880858;309.8535;;;6.354795;682.32007;7.9288073;139.9566;832.3631;;180.06662;;81.976685;534.72071;1.1226770000000001;151.56832;8.6714234;5129.8477;506.19556;34.619019;8.8950293;55.39059;7577.2774;1.241992;166.43758;1186.064;469.6843;
2001-03-09;107.536;;276.70484;157.14046;;1856.2317;254.83639;1062.955;12.45168;196.283;1531.9244;5.4558029999999995;11695.469;249.27509999999998;2.545172;1122.824;25810.97;203.14325;1.7980169000000001;225.26867;230.54834;9.429722;;;513.83033;562.9087;72.599883;;222.78106;0.15;;4067.6136;;2.230692;99.881485;;2744.9468;362.20752;1.6175689;126.94709;2116.649;265.3435;;;;66.797071;207.91237;;319.12818;;2744.6897;4.7530127;567.02222;81.49042;;110.76101;;484.44239;;163.64745;11498.997;1823.213;2.3033355;2457.063;270.49903;483.95972;;393.8816;;3813.4085;317.09205;340.21729;354.14551;211.9573;279.9397;285.91285;528.50635;120.03077;487.5793;10.91916;143.7032;607.4705;903.6131;178.43364;;266.99008000000003;130.66822;0.8390234;;193.3477;449.39356;210845.4;;748.1326;1587.0845;;;;1106.1285;157.13067;195.9234;63.374985;;2102.5984;4.7239990999999995;352.396;782.9531;;1072.6041;126.1905;1219.135;;9696.473;318.7294;;131.88309999999998;196.0781;5.225818;2604.3768;279.4626;232.23319;;12.770772;306.2402;;;6.261616299999999;692.69288;7.7314082;141.6617;820.8556;;183.33333;;82.536255;522.5105;1.1226770000000001;151.56832;8.6714234;5084.6329;481.62281;34.833893;8.9894336;55.1284;7558.5625;1.238887;170.1362;1148.1099;449.6978;
2001-03-12;103.7256;;270.48536;157.14046;;1829.9451;255.01238;1066.001;12.05752;194.61950000000002;1541.7027;5.44489;11471.133;251.178;2.545172;1110.865;23950.1;201.88415;1.7980169000000001;218.03486;227.89338;9.326816;;;520.46045;531.50416;72.599883;;216.36918;0.1513158;;3742.7793;;2.210302;99.811982;;2737.6851;330.65845;1.5989222;120.82029;2071.304;259.8154;;;;64.353282;209.4159;;321.25586;;2704.0027;4.7371192;565.72608;79.37502;;110.28766;;480.8689;;163.30004;11510.52;1775.913;2.3133501;2417.603;270.01709;480.77588;;370.9199;;3715.2781;312.2876;322.39112;361.64136;193.25525;279.9397;267.48145;510.28199;116.87204;487.5793;10.77932;146.0639;566.9402;920.475;158.29545;;259.00532;130.33315;0.8159502000000001;;192.2441;443.07984;218147.9;;742.1475;1599.4837;;;;1093.7352;150.14708;192.7356;61.40625;;2097.6744;4.7239990999999995;352.396;718.9119000000001;;1106.0872;120.2381;1134.904;;9618.898;317.699;;138.3285;192.8898;5.115967;2494.6421;279.4626;228.58318;;12.770772;309.8535;;;6.2467065999999996;685.66065;7.6327105;139.8254;774.8269;;174.73327;;82.629502;494.72193;1.144981;151.28019;8.564148;5121.625;477.93702;35.120408;9.0418799;54.80063;7301.1524;1.245097;166.43758;1148.1099;451.1255;
2001-03-13;105.4191;;261.21827;155.09966;;1850.1656;262.22803;1044.681;12.43376;194.0652;1515.6272;5.4121559999999995;11216.883;253.0809;2.4907880000000002;1107.022;22709.52;196.8475;1.7670157;215.62363;232.31849;9.822627;;;529.57667;551.05787;71.744102;;215.28962;0.1421053;;3593.2984;;2.181755;100.0205;;2708.638;318.52417;1.5895997;120.5752;1998.29;252.9056;;;;61.990938;201.8984;;315.69678;;2687.0501;4.5940528;566.37403;77.50002;;106.97431;;465.04419;;161.31466;11297.258;1724.313;2.2883143;2357.097;267.84717;471.22413;;370.0369;;3619.429;317.09205;336.73902;359.11719;187.02125;273.7644;271.97706;487.76954;116.77634;487.5793;10.522950000000002;141.93280000000001;588.6528;921.2413;158.29545;;249.52344000000002;130.66822;0.8012672000000001;;192.0233;440.10865;215998.2;;742.1475;1587.0845;;;;1065.8497;157.13067;189.7931;61.875;;2068.1297;4.6565137;346.07349;699.2863000000001;;1076.2486;125.0;1137.121;;9560.723;314.9513;;134.8579;192.8898;5.0375;2392.2225;279.4626;229.03942;;12.770772;310.7571;;;6.187072799999999;679.50709;7.8301068;139.6942;751.8119;;180.6666;;81.696885;463.1438;1.1152419999999998;151.56832;8.456875;5133.9571;473.02247;34.260895;9.094326200000001;53.81734;7244.9883;1.241992;164.12595;1081.6902;449.6978;
2001-03-14;106.6892;;259.66358;153.05889;;1833.9893;258.70801;1002.041;12.720419999999999;198.8705;1494.4412;5.401245;11000.024;249.27509999999998;2.458157;1118.981;21710.16;187.61375;1.7592655;221.55907;232.7609;10.15005;;;527.09058;539.20728;72.029375;;208.35425;0.1434211;;3719.7823;;2.140975;98.352326;;2672.3292;303.35621;1.5103526999999999;121.55547;1983.686;247.3776;;;;62.398243;201.6836;;311.23584;;2592.961;4.5940503;565.72608;76.63464;;108.20496;;444.11451;;161.56278;11032.122;1745.813;2.2482563;2367.62;262.78443;455.3042;;352.374;;3473.3741;303.87989;335.43458;359.49976;186.21962;281.998;265.23365;482.40943;118.21212;487.9043;10.464680000000001;137.5066;566.9402;928.9055999999999;162.97876;;244.7825;130.53417;0.8222429;;192.0233;430.82349;210939.2;;700.252;1587.0845;;;;1053.4563;147.00438;191.2644;61.5625;;2043.5091;4.6565137;341.4148;646.6077;;1080.3643;123.2143;1143.771;;9618.898;317.699;;126.925;189.7015;5.0061160000000005;2377.5916;279.4626;229.03942;;12.550581;300.8198;;;6.2243433;666.32129;7.6985083;137.7267;738.3444000000001;;173.33333;;80.577775;457.67042;1.144981;151.28019;7.9920142;4983.9258;450.49756;31.037751;8.8530713;53.42406;7053.0977;1.229572;160.42734;1148.1099;446.8425;
2001-03-15;106.6892;;261.21827;153.46703;;1795.5704;253.42846;992.9038;12.9175;198.8705;1497.7005;5.275761999999999;11067.325;247.37220000000002;2.458157;1118.981;22054.77;188.03348000000003;1.7592655;217.01468;230.10593;10.168759999999999;;;530.40552;546.31763;72.172032;;215.25687;0.1434211;;3610.5459;;2.112428;99.186417;;2541.6175;300.32276;1.5756145000000001;120.0851;2045.941;250.1416;;;;65.167891;201.8984;;310.54957;;2626.8663;4.5304639;565.72608;76.97116;;105.79096;;451.77173;;158.88251;11112.813;1818.913;2.2482563;2315.006;257.48047;452.12037;;362.0884;;3555.5301;306.28199;340.43458;353.38062;207.68256;288.1731;268.83008;482.40943;122.42373;489.2043;10.33649;135.441;516.5186;935.0369000000001;167.19373;;244.7825;130.46711;0.8012672000000001;;192.9062;438.25147;215335.3;;700.252;1569.7259;;;;1047.2591;147.00438;183.4176;61.71875;;2053.3575;4.7661792;342.74585;679.6613000000001;;1103.0003;128.5714;1215.81;;9793.438;315.6382;;134.6099;192.0927;4.990422;2377.5916;279.4626;226.75815;;13.871695;293.593;;;6.1907984;668.07959;7.5998107;137.7267;798.315;;178.26659;;81.510376;454.72315;1.078067;150.99202;8.0456543;5096.9649;421.82959;31.515244;8.9894336;53.030739999999994;7347.9532;1.2016280000000001;163.35541;1105.4114;442.5598;
2001-03-16;103.7256;;253.44413;153.46703;;1769.2842;253.42846;986.8123;13.29373;198.2974;1509.1084;5.275761999999999;10476.567;243.56650000000002;2.458157;1123.252;20900.34;190.55176;1.7592655;212.56315;234.44246;10.03779;;;530.40552;526.76392;72.029375;;208.87768;0.13289479999999998;;3622.0445;;2.112428;98.69986;;2577.9263;300.01929;1.5569677999999998;121.55547;2036.718;254.2876;;;;65.167891;193.30698;;307.46119;;2561.597;4.4986719;570.91016;76.92311;;102.71427;;446.667;;158.83289;11066.704;1720.012;2.2482563;2236.085;257.96265;452.12037;;356.7896;;3603.4546;305.08106;336.3042;345.73169;199.04395;284.0564;261.63721;482.40943;120.60506;487.5793;10.23161;133.0804;469.4746;925.84;162.97876;;244.7825;130.33315;0.7865845;;194.672;436.39454;211002.3;;712.2222;1558.1534;;;;1016.2752;143.51259;174.0996;59.874985;;2043.5091;4.5805933;342.08033;648.6736;;1095.7979;128.5714;1160.395;;9696.473;313.5775;;133.8663;188.1074;4.927649;2355.6441;279.4626;223.5644;;13.211144;309.8535;;;6.2467065999999996;661.04688;7.8794575;137.5955;771.0556;;170.79996;;81.510376;429.4607;1.055762;151.56832;8.2244434;5127.793;448.44996;31.515244;8.916008399999999;52.9652;7230.9493;1.235782;160.11912;1110.1558;375.4619;
2001-03-19;99.49196;;262.7732;156.73229;;1757.1519;259.58814;910.6694;13.31165;194.28560000000002;1548.2215;5.253938000000001;10469.09;243.56650000000002;2.458157;1109.158;21003.72;195.16868;1.7592655;208.66802;230.10593;10.02843;;;525.43287;533.87427;70.603047;;203.47992;0.13289479999999998;;3627.794;;2.100195;98.352326;;2535.0081;291.22217;1.5616295;122.09464;1968.314;250.1416;;;;64.516211;194.38089;;313.98096;;2545.4927;4.4509864;565.72608;78.50958;;105.54482;;441.56226;;157.09563;10986.008;1677.012;2.2482563;2275.546;265.19532;452.12037;;356.7896;;3528.1446;309.28492;336.3042;339.61255;194.76922;279.9397;261.63721;474.63721;118.88213;487.5793;10.23161;129.5395;487.3274;907.4456;172.8137;;247.52723000000003;129.99808;0.717365;;194.8927;432.68067;207396.2;;688.282;1554.847;;;;951.20899;143.1635;174.59;59.812485;;1969.6473;4.3443921;339.41822;648.6736;;1086.5376;129.7619;1163.72;;9696.473;314.60790000000003;;133.1226;189.7015;4.927649;2333.6973;266.7598;220.14249;;12.990953;306.2402;;;6.2317994;672.65064;7.7314082;136.415;768.7188000000001;;166.7333;;80.577775;428.19751;1.003717;151.28019;8.4211158;5125.7383;461.14576;31.801758;8.9055201;52.8341;7408.7969;1.2016280000000001;159.50269;1091.1788;394.021;
2001-03-20;100.254;;278.32203;154.07927;;1777.3724;256.94825;959.4009;13.275820000000001;191.99310000000003;1564.5186;5.275761999999999;10424.223;243.56650000000002;2.41465;1110.439;21020.95;198.10668;1.7592655;215.62363;238.95617;9.888110000000001;;;512.17286;549.28028;68.463555;;215.91118;0.10921049999999999;;3679.5374;;2.030868;98.004792;;2614.2349;310.94019;1.5662912;124.98653;1929.886;239.0856;;;;62.886993000000004;198.67661;;314.32398;;2542.9498;4.4509839;565.72608;79.51924;;106.01815;;458.91846;;157.84014;10991.774;1685.612;2.2632775;2347.1;265.19532;452.12037;;365.6211;;3576.0691;323.69825;344.34766;335.0232;201.18139;273.7644;260.73829;471.68921;118.49926;487.2542;10.453030000000002;131.605;484.9148;923.5405999999999;174.21866;;242.03774;129.99808;0.7236575000000001;;196.4377;427.10962;207428.1;;688.282;1554.0203;;;;929.52027;145.25849;173.6092;60.187485;;1920.4061;4.513108;336.42334;630.081;;1080.3643;128.5714;1196.969;;9677.082;317.699;;137.83270000000002;190.4986;4.915095;2414.1692;248.9759;223.33625;;12.660677;301.7234;;;6.2243433;679.3313;7.8959075;134.9722;815.4494;;167.73325;;80.671036;448.40748;0.9999997999999999;151.56832;8.295962;5187.3946;467.28882;32.279252;8.7271998;52.8341;7413.4766;1.182998;161.96842;1129.1329;406.8694;
