;GB00B0H2K534;IT0001063210;GB00B1VNSX38;GB00BMSKPJ95;DE0005909006;IT0004827447;NO0003028904;GB00B3MBS747;NL0009739416;DE0007480204;GB00BYN59130;NO0003078800;GB0009292243;ES0152503035;IT0005252140;GB00B0WMWD03;FR0011594233;FR0000077919;ES0184262212;CH0010532478;IT0003261697;IT0000066123;DK0060745370;DE0005408116;FI0009002422;GB0009457366;GB00B0N8QD54;BE0003593044;BE0974268972;DK0060636678;GB00BZ0XJR39;GB00B62G9D36;GB0000282623;CH0000816824;NL0006294274;SE0000806994;SE0000117970;JE00B5TT1872;DE0003304002;FR0000124570;GB00B1ZBKY84;SE0000455057;GB0000961622;DK0060495240;GB00B0ZSH635;CH0267291224;BE0974276082;SE0000936478;SE0007871645;GB00B2PDGW16;GB0007990962;DE000A0LD6E6;IT0005211237;SE0000872095;ES0115056139;DK0010311471;GB00BVFNZH21;IT0001233417;GB00BZ02MH16;CH0126673539;GB00B0LCW083;CH0225173167;GB00B06QFB75;AT0000831706;SE0000950636;CH0011795959;NL0000360618;DE0005565204;DE000A12DM80;GB0000608009;DE000SHA0159;NL0010801007;GB0006834344;SE0000652216;FR0000120859;NL0000852580;SE0007074281;SE0000862997;DK0060738599;SE0002683557;GB0001500809;GB0004161021;NO0003053605;GB0001001592;SE0000108847;CZ0008019106;LU0061462528;CH0021783391;GB00B0HZP136;GB00BLT1Y088;LU1072616219;GB0009697037;GB00BRS65X63;FR0000035081;GB00BNGWY422;IM00B5VQMV65;GB00B53P2009;GB0007668071;NL0000334118;FR0000064578;DE0005501357;GB00BK1PTB77;NO0010582521;FI0009000285;JE00BYVQYS01;IT0005252207;CH0043238366;IT0000072170;CZ0005112300;GB0031698896;GB00BD6GN030;FR0010096479;FR0000125585;GB0034264548;NL0009432491;SE0008321293;DE0005773303;CH0038389992;GB00BYT1DJ19;AT00BUWOG001;BE0974256852;GB00B83VD954;CH0009002962;GB00BYQ0JC66;GB00B5N0P849;FR0000130213;FR0000121121;FR0000120966;BE0003826436;GB00BZ6STL67;NL0011821392;DK0010287234;ES0105066007;GB00B1H0DZ51;IM00B7S9G985;IT0003796171;FR0000120222;FR0011950732;AT0000606306;GB0003096442;SE0000112385;LU0075646355;BE0003818359;FR0000121725;ES0124244E34;DE0007165631;GB0059822006;SE0000163628;GB00B7KR2P84;SE0000825820
2014-05-30;7.5652881;189.08756;1.859778;;578.45923;240.32909;2109.1966;2.1483329;53.419404;341.06763;49.564415;974.86915;17.451971;136.71933;2968.6915;1.2266132;180.08068;200.40557;2764.3448;734.40845;627.86353;425.2981;;228.63166;105.9424;1731.5825;4.562102100000001;265.97315;134.31481;;604.41567;3.373335;38.119876;99.74791;;1351.8848;587.36109;8.1133326;363.78101;15357.665;1.7408542;18.969208;36.043260000000004;;993.2943799999999;;;636.63282;1078.8826;833.33625;8.2542627;135.80327;;170.84318;191.47513;6126.3985;2540.5888;185.74613;17.018553;140.63215;6.441792;107.62165;6.876396499999999;2412.5967;875.75928;461.35035;2356.4441;751.4065;;9.620254;;;6.4176392;429.48633;8513.4532;1372.4195;1062.7945;538.16578;;394.07471;114.19877;14.527847;675.76294;28.329278;1074.337;293.22144;219.9583;1234.8685;706.52875;1.0;;11.865715999999999;;2145.0872;;4.3044043;2.7233936;1557.7638;471.28834;5339.5391;365.43409;14.554568;256.93848;425.90284;0.9904715000000001;498.50831;138.6774;;948.04615;3.7401636000000003;;308.66285;11926.094;1.9362496999999999;550.17823;5767.3672;211.34093;879.33667;12.734183;98.707825;32961.168;9.501167;538.19507;6.482109400000001;4.6802125;475.65357;24980.387;7964.3516;469.17188;;;386.25904;;0.81092743;3.5653881999999997;;592.35279;;75.31717;1865.0982000000001;360.48975;238.22895;226.57959;38532.79;487.96827;2234.2164;193.31341;1181.577;6.072107;4122.7305
2014-06-02;7.5652881;190.65371;1.8804751;;578.59302;244.70914;2111.6065;2.0877771000000003;53.018311;342.79639;50.181211000000005;982.87647;17.500315;135.51085;2996.6382;1.2442205;179.33472;203.59366;2761.7178;738.53443;630.365;428.15064;;229.75168;110.49509;1759.4307000000001;4.6201612;267.73194;137.00397;328.18824;612.3074300000001;3.4382251000000004;38.656331;100.47599;;1363.4251;592.37281;8.2666651;366.61451;15138.844;1.7959319;18.969208;36.211197;694.03882;1005.6619000000001;;;635.10474;1082.2698;826.09;8.3096607;135.99581;;170.54293;193.64704;6126.3985;2564.0125;189.54979;16.860975;140.63215;6.4569092;105.53808;6.876396499999999;2400.6846;879.92969;469.88892;2358.4188;758.70875;;9.708178799999999;;;6.4522753999999996;429.48633;8718.4297;1386.2159;1047.0186;532.2754;2389.2508;401.41114;114.19877;14.614332;679.56983;28.448013;1073.0355;291.58057;222.20386;1235.6424;712.31313;1.0040539;;11.963458000000001;;2166.7017;;4.3763038;2.7478248;1521.3725;472.75416;5406.4493;366.78736;14.510911;258.10206;438.17774;0.9868679899999999;498.50831;137.59786;;935.51246;3.7633008;;308.40235;11822.563;1.9637499;557.46485;5868.5508;211.97931;879.92676;12.88647;100.46662;32872.961;9.6622071;538.65015;6.5616138;4.7069727;466.62989;24865.946;7897.8868;472.85474;;;382.06617;;0.81204667;3.4662037;;592.54004;;75.730973;1869.01;365.38404;239.22573;221.84057;38723.547;494.32032;2259.3199;192.93012;1172.0149;6.187199799999999;4119.5782
2014-06-03;7.469372600000001;184.91114;1.8627346;;573.03882;243.56653;2056.1651;2.0588883;52.082428;341.58155;49.564415;983.37696;17.471312;132.77163;2987.3226;1.2307215;179.23394;201.63962;2732.8165;733.58326;616.91993;426.07593;;225.96358;109.26465;1752.4688;4.568215400000001;270.76392;134.75087;329.13038;607.20106;3.3683423;38.119876;99.74791;;1355.7315;585.35645;8.38;361.65577;15163.497;1.7644593;19.023087;35.799007;695.90943;982.87938;;;634.49341;1092.4322;819.64875;8.1988648;133.98778;;166.53959;194.04717;6122.2071;2564.9894;190.81771;16.435084;140.83349;6.4040137;101.18972;6.8363843;2378.6937;876.68604;469.88892;2353.4825;743.26661;;9.5909473;;;6.4869092;425.64649;8647.793;1382.7664;1027.9214;527.18824;2382.9168;400.36304;114.19877;14.700804;677.47608;28.590488999999998;1054.1587;296.62964;217.86245;1228.6788;709.0081299999999;0.96216218;;12.0221;;2190.6531;;4.3763038;2.7071045;1508.46;474.99122;5472.629;361.87623;14.467254;263.22217;439.60499;0.9940750199999999;489.37232;137.84701;;952.8667;3.6844166;;307.32349;11754.383;1.8837499;559.37867;5791.1758;211.01926;880.51709;12.919974;100.39483;32660.465;9.510644600000001;533.19092;6.5907642;4.7010254;462.62989;24585.75;7862.9883;467.67725;;;372.1084;;0.85066239;3.4479322000000003;;588.79566;;74.857377;1866.4025;363.31324;239.02636;216.62087;38723.547;489.43409;2235.4712;188.37302;1196.6026;6.270542000000001;4151.0743
2014-06-04;7.499348199999999;183.86701;1.8775182000000001;;573.77491;238.80562;2026.0337;2.0561104;52.498368;341.53467;48.859493;981.375;17.451971;133.20669;3055.6402;1.2324823;181.45168;196.25762;2713.1875;734.82105;629.11451;426.59473;;225.56832;110.65915;1762.8125;4.6109937;271.43091;135.514;328.81641;609.0579;3.3573608999999998;38.340767;99.019822;;1373.3169;587.61182;8.2533326;356.37549;15222.055;1.7556076999999999;18.969208;36.012730000000005;697.78028;971.81375;;;632.65967;1111.0628;818.84375;8.2234864;135.55571;;166.83982;195.56182;6168.3321;2563.0369;189.97243;16.354166;142.04148;6.441792;105.26629;6.790656800000001;2379.6102;869.7356;467.9607;2336.7002;746.73804;;9.598274;;;6.4767237;424.87842;8804.2969;1376.8538;1026.2608;530.66895;2383.8912;402.45923;114.19877;14.864148;679.56983;28.637981;1035.9327;294.48389;217.04616;1230.2264;708.18188;0.93243241;;12.090521;;2183.3509;;4.3715113;2.7342505;1560.1113;479.38868;5492.2657;361.0254;14.572021999999999;264.15308;439.60499;0.9976786900000001;486.19459;139.17562;;946.43921;3.6497095;;306.75855;11692.52;1.9924997;553.19581;5877.4766;211.24965;881.10718;12.731136;99.748734;32704.563;9.368554699999999;535.92042;6.5828125;4.7069727;466.62989;24487.09;7882.0977;462.44629;;;373.41871;;0.80421158;3.4844727;;594.0376;;76.267441;1816.8575;362.18384;240.62121;218.95603;38723.547;485.68799;2244.7598;191.05617;1197.9686;6.3141967999999995;4138.4766
2014-06-05;7.3854493;188.87871;1.8878666999999998;;574.9126;241.09087;2027.8418;2.0499994;53.538239;343.77735;48.022422;985.03687;17.471312;135.55918;3074.2715;1.2295478;186.37099;195.77764;2733.1609;746.78614;652.87793;434.89307;;229.98218;110.65915;1765.8175;4.5865479;272.09815;136.4589;;609.52211;3.349375;38.530103;98.291733;;1370.0196;589.86695;8.1333326;352.38257;15348.418;1.7733108999999998;18.969208;35.844808;;970.5125;;;635.71607;1116.1438;815.62313;8.2665723;134.42791;;166.13926;194.33297;6168.3321;2566.9407;191.76862;16.511746000000002;140.73281;6.4153492000000005;104.99453;6.7277784;2424.5084;870.19898;473.1941;2313.0074;749.37159;;9.5909473;;;6.468571799999999;425.64649;8866.6211;1382.2737;1029.5821;530.40113;;409.79566;114.19877;14.83532;690.41993;28.709218999999997;1041.7911;289.68726;216.82187;1245.701;707.7681299999999;0.94729737;;12.0221;;2187.44;;4.400271;2.7274633999999995;1569.5025;481.39454;5561.3516;360.98682;14.458528;266.71314;438.74854;1.0115779999999999;493.34449;137.51482;;952.70582;3.6213111;;309.20655;11783.422;1.9862499;554.96241;5812.004;211.21128;879.33667;12.755503000000001;101.57932;32748.672;9.4727564;541.83472;6.6437671;4.7396802000000005;471.74659;25315.829;7882.0977;464.10108;;;373.41895;;0.78238541;3.4714234;;599.09253;;77.784852;1816.8575;366.70167;240.62121;219.9175;38532.79;492.52857;2278.1478;192.97275;1189.7728;6.2745118;4110.1329
2014-06-06;7.5233252;189.60962;1.8819534999999998;;580.33301;242.23348;2076.0521;2.1172219;53.96904;352.28077;48.374883;999.16114;17.790379;140.02251;3080.4834;1.2430463;186.37099;196.2233;2729.1663;747.61133;668.51197;457.45484;;234.6596;112.79195;1822.9082;4.6782178;277.94996;136.20447;334.46949;624.3771499999999;3.4352319999999996;39.697684;97.927689;;;;8.1333326;350.0;15656.618;1.7969157999999998;;36.379119;705.26319;988.7375;;;;;843.80375;8.3712134;135.95455;;;206.07865;6252.1954;2622.5744;190.18375;17.069661;140.93416;6.5286938999999995;105.90044;6.7677906;2440.0853;870.19898;479.25342;2340.649;760.02564;;9.8107544;;;6.6947193;;9048.0547;1400.1768;;;2400.459;;114.19877;14.969837;701.4607;29.041668;;291.13892;219.4562;1272.0076;721.81625;0.94054062;;12.217583999999999;;2272.4371;;4.4098584;2.8231543;1616.4588;485.17457;5732.9883;364.27369;14.729185;269.50611;443.31592;1.0270223;492.55005;139.67388;;958.49073;3.6928321;;307.62476;11951.344;1.9674996999999999;555.69849;;212.44011;905.30372;12.895606;102.65613;32520.137;9.6906275;538.65015;6.786872600000001;4.7188672;471.65357;25521.04;7999.2461;471.57349;;;368.96387;;0.78602295;3.5497266;;607.14283;;79.57808;1827.2882;;242.21604;219.0934;39286.278;497.08912;2259.3199;195.78353;;6.3618213;
2014-06-09;7.5053418;197.336;1.8701265;;584.48218;241.28129;;2.1161103;54.26616;351.25293;48.374883;;17.59701;140.98929;3120.8519;1.2459809;188.70971;196.80602;2778.7691;;673.51514;454.86158;;235.02189;112.75094;1807.8844;4.7026636;276.88868;136.42252;;624.3771499999999;3.4032837000000002;39.823909;97.927689;;1388.1548;603.14771;8.3666651;351.03028;15644.29;1.7998667;19.184754;36.714979;;983.53063;;;641.52295;1122.9185;857.49125;8.3465918;136.77977;;169.94242;201.70615;;2610.8632000000002;191.45163;17.112251;140.93416;6.5022437;105.90044;6.7106324;2440.0853;900.31763;479.25342;2359.4058;756.5542;;9.700852099999999;;;6.6213746;427.18238;8982.961;1398.8624;1034.564;535.48829;;410.84375;114.19877;14.989052999999998;;29.184146000000002;1068.1536;291.32813;219.02572;1272.0076;721.81625;0.96891892;;11.983003000000002;;2251.991;;4.395478600000001;2.7953296;1596.5019;485.09742;5682.0782;365.35645;14.659336000000001;;442.17408;1.0265073;497.71387;139.67388;;961.70435;3.6560205999999997;;308.1897;12059.922;1.9824996;562.83765;5868.5508;212.70896;905.30372;12.874285;102.65613;32989.239;9.7379932;538.65015;6.8690235;4.7842823;476.58399;25094.833;8045.7735;465.80909;;;;;0.7966561900000001;3.5027442000000004;;606.2063;;79.57808;1841.63;389.85596;;223.90093;39486.571;500.83521;2259.3199;196.33722;1203.4324;6.3816602;4103.8321
2014-06-10;7.469372600000001;199.42421;1.8967371;;580.60084;238.23436;2073.0391;2.1111104;53.419404;350.87891;49.344141;1002.2999;17.403638;141.48879;3136.3794;1.244807;185.68551;196.05184;2756.7981;748.43653;672.57715;451.49024;;240.39101;112.54587;1812.8925;4.699606999999999;275.37256;136.64055;336.35376;620.19918;3.4202564;39.508345;98.291733;;1400.7942;609.66285;8.4533326;351.03028;15730.583;1.8195369;19.130875;36.592845000000004;718.35816;989.38875;;;631.74268;1124.6121;880.8406299999999;8.2727295;136.6285;;170.1426;201.70615;6210.2657;2623.55;189.33849;17.103733;140.93416;6.4115674;104.54159;6.6763355;2472.1556;896.61084;484.76221;2360.3931;758.34961;;9.7155054;;;6.5561792;430.06226;9088.2188;1398.3697;1029.5821;535.48829;2408.743;412.93995;114.19877;14.787277999999999;703.93531;29.445355;1064.2483;295.99854;216.48212;1282.8396;717.6843799999999;0.96216218;;11.973230000000001;;2240.3079;;4.3715113;2.8095801;1610.5888;486.79468;5690.0782;368.21802;14.493445;268.10962;440.17579;1.0280517999999998;498.11109;137.84701;;964.91797;3.6381397;;307.09742;11971.543;1.9437499;556.8025;5910.211;212.13289;909.43482;12.776824;102.01005;33177.68;9.7758814;545.9292;6.8796241;4.7129199999999996;479.56104;25430.27;8142.1485;465.542;;;379.96998;;0.7991748099999999;3.4896949;;606.3938;100.0;81.877152;1842.9338;392.30298;242.01668;221.84057;38914.301;503.76685;2247.5213;200.2555;1198.6517;6.3221338000000005;4081.7872
2014-06-11;7.4334058;194.72573;1.8760399;;573.44019;236.13955;2048.9339;2.0411107;53.998749;349.85108;48.81543;999.16114;17.185018;139.36187;3100.6663;1.2324823;177.19762;194.02929;2776.7718;741.83497;665.07251;443.19166;;237.06411;108.8955;1802.8763000000001;4.6751636;274.64502;137.73084;334.78345;611.3789499999999;3.3773291999999997;38.940333;94.651307;;1376.0647;599.63965;8.5466651;352.44703;15345.333;1.818554;18.86142;36.241727;710.87525;985.48375;;;626.85254;1126.306;894.5281299999999;8.2296412;137.26116;;170.94326;197.76232;6130.5899;2615.7419;186.90836;17.061143;140.53147;6.3775635;105.80983;6.5620142;2438.2527;883.63648;486.4148;2340.649;750.32935;;9.7155054;;;6.4991334;429.67823;8887.3985;1396.8917;1023.7701;527.18824;2396.0738;408.74756;114.19877;14.441375;693.27564;29.231639;1063.2718;299.78516;216.36071;1272.0076;716.445;0.9337840300000001;1.0;11.924361;;2227.1639;;4.3619239;2.8170459;1594.1544000000001;483.78614;5658.0782;362.34034;14.467254;268.10962;438.46314;1.009004;496.52222;139.5078;;964.11475;3.6549682999999997;;305.8545;11875.59;1.9449995999999998;556.43433;5904.2618;205.45098;901.7627;12.551438000000001;102.58436;32852.911;9.6337867;547.74903;6.9273243;4.6712916;469.14185;24862.0;8125.5313;463.88746;;;373.15674;;0.7871424899999999;3.4270508;;601.33912;101.01694;79.562775;1798.6044;385.3379;242.01668;219.78022;38723.547;501.97535;2234.2164;198.25379;1196.6026;6.072107;4056.5909
2014-06-12;7.4813624;191.90665;1.8627346;;573.44019;234.04473;2024.8289;2.0222216;53.567963;353.58887;49.07980499999999;1026.8865;17.223951;140.16753;3181.4056;1.2565453;186.49201;194.37212;2797.4126;737.70923;658.8191;442.41382;;236.603;107.45997;1801.875;4.6751636;278.58667;136.93134;334.46949;612.3074300000001;3.3334008999999996;39.539903;95.37938;;1381.0105;601.89478;8.4399976;350.96607;15274.454;1.8293725;18.753647;37.172957000000004;722.09961;983.53063;;;625.63013;1138.1617;908.21625;8.2855835;143.36777;;174.94661;195.70467;6206.0704;2640.1425;186.0631;17.056883;140.02813;6.3737891;108.2558;6.573447300000001;2440.0853;880.39307;491.09717;2324.8538;763.13819;;9.6568897;;;6.5195069;427.95044;8856.9258;1407.0748;1029.5821;518.35279;2401.4334;423.42066;114.19877;14.191556;693.46583;29.255385999999998;1063.9224;298.52295;216.52282;1276.65;716.445;0.92837845;1.0555553;11.904812999999999;;2255.7884;;4.3715113;2.8163672;1594.1544000000001;487.18042;5687.1719;362.5337;14.318829000000001;266.94605;436.46485;1.0126075;497.31666;140.17212;;970.22046;3.6497095;;304.68702;12039.723;1.8999996;558.05347;5910.211;208.06229;898.81202;12.807076;102.2972;32564.231;9.7569361;540.92481;7.0147779;4.6980518;471.65357;25351.344;8167.9063;468.26441;;;368.4397;;0.7980554200000001;3.4061719;;598.1565;101.62711;80.137101;1821.4207000000001;387.03223;245.20636;222.04661;38723.547;501.64966;2232.7098;199.44629;1208.2137;5.9570142;4103.8321
