;GB00BMSKPJ95;GB00B1Z4ST84;FR0011594233;NL0009739416;IT0004827447;DE0007480204;ES0152503035;NO0003028904;SE0000806994;GB00B0LCW083;GB00B3MBS747;DE0007251803;JE00B5TT1872;GB00B62G9D36;SE0000117970;ES0184262212;IT0005252140;GB0009457366;GB00B1ZBKY84;GB00B0HZP136;DK0060738599;IT0000066123;NO0003078800;DE000A0LD6E6;GB00B4Y7R145;BE0974276082;GB00BZ0XJR39;CH0225173167;IT0003261697;DE0005408116;GB0000282623;DE000SHA0159;GB0000961622;DE0003304002;SE0000872095;ES0115056139;GB0006834344;SE0007871645;DK0060495240;DK0060636678;SE0000455057;SE0007074281;AT0000831706;SE0000936478;CH0267291224;GB00B0N8QD54;BE0003593044;GB0009292243;CH0126673539;GB0007990962;SE0002683557;GB00BZ02MH16;IT0005211237;FR0000077919;GB0009697037;IT0001233417;JE00BYVQYS01;DK0010311471;NL0009432491;FR0000124570;SE0000950636;CH0043238366;FR0000035081;NL0000852580;BE0974268972;GB00BVFNZH21;NL0006294274;GB00B2PDGW16;SE0000108847;CH0000816824;DK0060745370;FR0000120859;LU0061462528;GB00BRS65X63;SE0000862997;GB00B0ZSH635;ES0143416115;GB0001500809;FR0011950732;GB0031698896;DE0006766504;GB00BK1PTB77;IE0033024807;GB00BLT1Y088;DE0005565204;CH0011795959;NL0000360618;GB00B06QFB75;GB0001001592;DE0005501357;FR0012757854;CH0021783391;SE0000652216;FR0000050809;GB0007668071;SE0000112385;FI0009000285;GB00B5N0P849;NL0000334118;DE0006070006;FR0000064578;FI0009002422;FR0000120966;CZ0005112300;IT0005252207;GB00B7KR2P84;NL0010801007;NO0010582521;SE0008321293;FR0000125585;GB00BYQ0JC66;CH0012271687;BE0974256852;GB00BNGWY422;FR0000130403;NL0011821392;GB00B8HX8Z88;DE0005545503;DE000BFB0019;GB00BYT1DJ19;CZ0008019106;GB00B53P2009;DE0007165631;FR0000130213;BE0003826436;CH0009002962;ES0124244E34;GB00BZ6STL67;IT0003796171;GB0004161021;IM00B5VQMV65;DE000A12DM80;GB00BD6GN030;IT0000072170;JE00B6T5S470;DE000A1J5RX9;FR0000120222;AT00BUWOG001;ES0105066007;FR0010096479;JE00BD9WR069;DK0010287234;NO0003053605;GB0005576813;GB00B2QPKJ12;FR0000121725;CH0038389992;GB0059822006;GB00B1FP8915;DE0005773303
2014-08-29;1.1199997000000002;3357.005;181.65326;56.613282;227.56995;348.15528;140.40923;1895.264;1250.2188;6.5497315;1.8238897;556.48511;8.536504;3.3383936;558.29395;2825.0435;2804.1097;1738.7744;1.9461734999999998;699.27563;2134.3917;364.51954;910.23072;151.28986;6.5931030999999996;98.108063;609.52211;97.821991;619.42139;224.34957;35.500711;;37.096641;252.95328;175.14679;179.95797;6.9677247;1219.4588;624.82203;353.62671;20.855362;980.594;2085.4803;662.30616;;4.192368200000001;284.77198;16.912549;144.96085;8.5155665;433.90137;16.81014;;184.15641;11.111633999999999;182.77775;0.88957093;7308.9063;574.39332;12374.282;851.66431;139.25869;2067.0999;1438.6097;136.24086;2708.735;97.099991;939.01938;987.11402;94.651291;;8423.4336;193.5067;;541.37867;866.3656299999999;265.93042;114.36187;87.457612;3.6812623;689.63721;14.860147;21.517068;1.0054055;701.84742;497.15674;2301.1612;6.9392724999999995;30.418951000000003;348.72852;;1220.168;449.64551;2613.1143;1588.285;354.84253;433.896;4.6968995;455.9358;279.91382;5599.8985;96.467881;8590.8008;1052.7859;465.93628;5.2982105;105.59089;299.99415;5743.5625;11467.782;6.759690000000001;7540.586;29108.141;1.1595238;1647.7576;;1.998758;613.61841;;12.876509;309.2522;2.5742554;2270.3653;389.8816;477.82959;511.8086;474.62916;;;12.827166;4.3159034;;;98.99997;0.6384466599999999;120.62031;562.21094;106.62349;;300.54419;198.19411;312.36158;654.82349;5.243652399999999;2.0152020999999998;40898.168;1013.8929;191.09882;179.59761999999998;198.15456
2014-09-01;1.1259998;3336.6013000000003;180.04038;56.568711;227.37954;349.31495;141.1182;1899.4822;1252.9666;6.5611084;1.8211118;556.48511;8.6301392;3.3334034000000003;560.54908;2839.6915;2734.2378;1755.8013;1.9611052;699.27563;2133.4161;358.52515;907.615;152.33512;7.0484595;100.37833;606.2725800000001;100.44629;608.4773;223.62491;35.216705000000005;;37.050838;251.9229;175.14679;181.18691;6.9962452;1219.4588;587.40772;354.88306;20.855362;962.32715;2120.2994;673.61451;;4.2473707;284.77198;16.932015;146.87352;8.5777247;430.75733;16.632818;;184.19071;11.14137;179.48841;0.88957093;7216.6563;575.35035;12328.051;853.05445;139.17563;2058.6297;1440.4161;135.2596;2709.7175;97.999955;935.7675;980.60499;92.467026;;8420.6602;189.39506;;541.37867;871.57313;266.29151;114.52501;87.593201;3.6791578;688.53028;14.842692999999999;21.618323;0.98918931;704.95997;498.53394;2342.6236;6.910691000000001;31.321307;349.46314;;1214.752;450.02955;2620.3467;1590.6325;357.28956;437.03589;4.660976600000001;456.78467;280.28614;5587.5352;98.10849;8669.7305;1065.5049;464.74463;5.325993700000001;102.6363;296.73609;5722.7305;11479.145;6.861623600000001;7577.754;29023.946;1.1690479;1655.6709;;1.9970017000000002;615.20044;;12.968033;305.33912;2.5708276999999997;2244.0069;384.95093;480.51587;508.62403;471.46827;;;12.971294;4.2913819;;;99.149979;0.6354963699999999;120.84958;561.08765;108.65296;;297.90772;198.82031999999998;306.59644;655.7754;5.2792652;2.0193915000000002;41203.379;1025.106;198.85;181.59812999999997;198.26975
2014-09-02;1.1399997;3358.5732000000003;173.38718;55.825943;224.90387;347.62378;142.95508;1931.4217;1263.4078;6.5193921;1.8527780999999999;557.30982;8.7704615;3.3144335999999996;563.30542;2838.3594;2745.1077;1747.7888;1.9511501000000002;698.85125;2134.3917;359.9524;902.38379;153.07782;7.0867261;100.62157;603.48727;100.89875;611.60425;227.21528;35.34293;;36.485997000000005;253.08201;174.3461;179.2435;6.9962452;1219.4588;594.89063;358.33765;20.639802;974.78199;2120.2994;665.66797;;4.2840381;283.52881;16.854166;146.97419;8.5093506;439.14185;16.761375;;184.60207;11.081897;179.15947;0.89420411;7266.9727;579.39844;12445.161;855.83472;140.58733;2078.4913;1464.3956;134.96892;2743.1338;97.5;935.7675;976.37452;92.467026;;8412.3516;187.72042;;547.26905;881.9875;265.26368;114.52501;86.508469;3.6991431;688.43824;14.868886999999999;21.732234;0.99864869;705.19922;504.59351;2349.534;6.9564209;31.012608;348.34156;;1231.7737;451.18165;2667.3582;1608.2413000000001;358.98389;439.89063;4.6729517;453.62159;280.75147;5566.4454;98.928803;8777.7383;1071.3489;469.90845;5.337898;103.86359;298.83057;5684.043;11530.911;6.974284699999999;7598.3985;29336.68;1.1666669;1654.4534;;2.0233474;611.2981;;12.936475;309.2522;2.5728834000000003;2234.2164;385.41626;478.1521;515.44825;474.62916;;;12.76952;4.2913819;;;98.799988;0.63077576;121.09971;563.33423;109.28243;;297.30518;198.82031999999998;310.00318;654.25245;5.3163575000000005;1.9953013999999998;40289.649;1043.991;195.86881;182.20934;198.42339
2014-09-03;1.1799998999999999;3347.5863;172.86297;56.331025;227.56995;347.33399;145.8232;2028.4439;1332.6507;6.5080152;1.8050004999999998;571.14405;8.777177799999999;3.3393921;569.06885;2870.9847;2768.3968;1762.8125;1.9451777000000001;705.2125;2135.8526;371.65577;883.55152;154.61821;6.964275;103.24318;608.12942;100.98922;630.36475;224.81078;35.24826;;36.806585;254.17666;174.14596;182.24428;7.032920000000001;1231.3147;594.89063;359.27979;20.693696;983.91529;2135.8765;670.55811;;4.3084839;284.07447;16.922291;145.86684;8.565293;445.43018;16.845604;;185.42489;11.121546;181.46201;0.89960953;7388.5782;579.47193;12580.77;852.59107;140.25518;2088.4227;1491.3316;135.55039;2788.3457;99.449997;943.0843799999999;976.37452;94.651291;;8470.5196;185.07494;;557.97901;896.95875;268.73584;114.52501;86.37288;3.7359546;695.35474;14.976976;21.941077;0.98648652;712.02271;505.14429;2337.6875;6.9507056;31.273814;350.04322;;1232.5477;451.18165;2696.65;1619.98;354.84253;442.45972;4.6040992;447.44996;285.59034;5599.8985;99.174881;8852.5118;1082.8655;476.26392;5.4133033;104.56814;302.78711;5722.7305;11505.661;6.952824799999999;7619.0469;29292.583;1.1690479;1689.1495;;2.0057834;616.3606;;12.986971;307.42188;2.5639722000000003;2243.2535;387.74195;480.19336;518.17774;481.11719;;;12.759908000000001;4.4041846;;;99.299973;0.62412323;122.32946;569.51221;110.98938;;290.37549;198.03758000000002;313.40967;654.82349;5.3860962;1.9523578000000001;41508.59;1049.3025;199.6592;181.04243;199.42183
2014-09-04;1.2039997;3382.1138;171.37105;56.152771;230.04561;345.06324;149.60979;2042.9078;1336.4976;6.4473365000000005;1.7750005;577.09913;8.8779859;3.3433911999999997;571.32398;2898.9488;2755.9776;1767.8207;1.9461734999999998;708.605;2174.3504;390.20997;907.615;153.60047;7.1747364000000005;103.29722;605.34411;100.44629;660.69507;233.01262;34.869585;;37.188245;256.36622;170.64303;182.38715;7.0981128;1236.3958;609.85621;360.22193;20.639802;982.25464;2144.1231;661.38917;;4.3695972;280.89087;16.961206999999998;145.56482;8.5093506;444.38209;16.725914;;187.03608;11.052159;183.10668;0.89701691;7480.8321;591.02759;12907.461;851.20093;141.33469;2080.8282;1513.1758;135.33236;2794.2425;99.399949;926.01125;968.56324;93.559159;;8542.5391;185.23565;;560.65625;887.8456299999999;270.79126;114.52501;86.440674;3.7464722;714.9983;14.897955;21.687935000000003;0.97972992;717.05054;509.00025;2379.1497;6.9221241;30.727652;350.5459;;1236.4163;450.98951;2729.1961;1621.1544000000001;353.1482;446.45606;4.5711695;449.30152;284.47364;5578.0821;103.52251;8844.2032;1084.5843;480.63331;5.4887085;108.24994;302.78711;5678.0938;11679.891;7.0493921;7643.8243;29529.133;1.1904764;1714.7149;;2.0110528;621.95044;;12.974344;305.46534;2.5406643;2277.3941;390.90503;480.73072;518.63282;488.27076;;;12.740691;4.3404248999999995;;;102.99999;0.63424744;122.14187;573.63111;106.05164;;301.78711;197.41133000000002;312.36158;651.96827;5.396482;1.9052247;41426.559;1039.2698;196.89092;181.15356;200.22829
2014-09-05;1.2;3344.4494;169.49599;56.033921;229.66477;344.58008;149.70646;2023.0208;1334.2994;6.4056201999999995;1.7677781;579.57276;8.844382399999999;3.3423926;568.81836;2861.6634;2742.0018;1750.7938000000001;1.9222817;711.14938;2167.0408;390.78101;903.95313;152.66523;7.1728223;103.51348;603.02305;99.450867;659.75709;233.14441;34.838029999999996;;36.959249;257.97608;169.44201;185.33071;7.0532935;1236.3958;615.46851;358.02344;20.585907;965.64844;2151.4534;662.30616;;4.3420972;284.34742;16.990398;146.67217;8.4534083;440.18995;16.335801;;186.59041;10.972862;189.90467;0.8954612799999999;7396.9649;599.78638;13003.004;848.88404;140.17214;2082.5806;1517.7747;135.73205;2777.5344;98.949967;906.49938;962.70484;93.195115;;8482.9883;183.76941;;557.97901;882.63875;274.01319;114.52501;86.711854;3.7107129;721.9148;14.748711;21.827166000000002;0.98918931;716.93067;509.00025;2362.3675;6.859248099999999;30.727652;351.28077;;1229.4527;448.68555;2693.7569;1619.98;353.1482;446.45606;4.550214899999999;448.83863;285.59034;5567.1719;108.6084;8844.2032;1082.3497;473.08619;5.4212427000000005;106.72725;300.22706;5645.3555;11518.286;7.065488299999999;7664.4727;29276.54;1.2285717;1702.5408;;1.9741688;615.93897;;12.86073;308.6211;2.5084433;2291.4524;394.71924;479.97876;515.44825;486.9397;;;12.740691;4.3404248999999995;;;102.99999;0.61816788;120.89126;576.81373;107.79514;;303.4065;195.53274000000002;311.57544;643.21167;5.3341626;1.8182903;41697.438;1028.0569;195.99657;178.65296999999998;204.37568
2014-09-08;1.2239998;3269.115;167.3388;54.919785;228.14132;346.41602;150.62491;2045.9209;1336.4976;6.2994214;1.6966674;583.51221;8.9048682;3.3553906999999996;577.3379;2850.3448;2664.3687;1720.7457000000002;1.875494;703.94;2170.4517;390.49561;894.53711;153.0228;7.0656812;103.24318;597.45239;99.812836;656.31763;233.07848;34.427801;;35.905884;260.74537;166.13926;185.64513;7.0390333;1226.2339;622.95142;360.53614;20.478135;968.96973;2123.9644;658.94434;;4.2259815;280.042;16.805508;146.16884;8.3912549;439.14209;16.149614999999997;;185.04773;10.715145;187.60213;0.8897578500000001;7359.2305;604.20264;12833.497;846.10401;136.18621;2030.5892;1526.3157;136.0591;2761.8088000000002;100.39994;895.93063;964.98365;93.19513;;8406.8125;184.19268;;559.04981;865.7156299999999;270.95777;114.52501;86.101685;3.6675904000000004;718.31836;14.739939;21.778733000000003;0.9851350499999999;711.66382;507.07227;2334.7261;6.8363868000000005;30.656413999999998;351.93824;;1223.2627;450.41358;2663.0188;1616.4588;355.40723;450.45264;4.4963306;449.30152;284.75293;5524.9922;111.88962;8819.2813;1074.2713;471.10035;5.464897499999999;105.77268;301.15796;5654.2852;11596.567;7.0386622;7664.4727;29340.696;1.2095241;1702.5411;;1.9495795;611.82544;;12.567219999999999;308.1792;2.4803371000000003;2296.9754;394.81202;476.11036;514.53858;485.44263;;;12.625391;4.3404273;;;102.1;0.60268403;120.89127;575.69043;108.17353;;304.68726;194.43687999999997;313.14771;639.97584;5.259975600000001;1.7837261;41275.864;1048.7125;195.91144;176.15239000000003;203.68447
2014-09-09;1.2079998;3308.3507;165.94765;55.112885;225.47513;345.25635;149.36809;2079.667;1335.3985;6.367688;1.7216674;582.32129;8.696525900000001;3.3303931;573.82959;2846.6822;2653.5013;1716.7388;1.874498;705.21188;2168.0152;376.50855;906.56861;151.97754;7.105859400000001;103.24318;592.81012;98.998398;663.50904;225.56832;34.585578999999996;;35.814292;259.6504;162.73638;182.21569;6.994209;1226.2339;630.43409;360.22193;20.424241;957.34522;2098.3084;656.80469;;4.2259815;278.344;16.922291;145.06148;8.3663892;440.18995;16.034354;;184.46502;10.685406;189.79502;0.88820206;7329.875;612.44605;12636.25;845.64063;133.44585;2007.8062;1523.8521;135.6594;2797.1913;97.699967;905.68625;951.96509;93.559174;;8426.1993;183.85463;;545.66236;864.4131299999999;255.98635;114.52501;84.745743;3.7180762;715.82837;14.67848;21.638714;0.97567551;706.03736;505.97046;2320.9051;6.8992627;30.775145000000002;353.33033;;1220.9415;450.98951;2691.587;1619.98;357.47779;447.88331;4.5562012;447.44996;282.24024;5459.5391;107.95217;8781.8907;1073.4119;468.71705;5.5045826;104.29542;299.2959;5600.7149;11501.872;6.9447779;7672.7305;29537.149;1.2071429999999999;1709.8455;;1.9004009;607.81739;;12.564065000000001;311.77662;2.4810228;2337.1407;402.16138;467.46045;510.89893;481.61622;;;12.298711;4.3404273;;;102.89998;0.61161698;116.09731;569.51221;108.5329;;305.17676;191.61895;314.71998;663.57959;5.1635303;1.7690624;41203.379;1041.6304;195.40026;176.26355999999998;202.30199
2014-09-10;1.196;3286.3788;163.93152;54.875214;225.85607;343.37208;150.78605;2048.9339;1326.056;6.3221802;1.7322222999999999;582.4126;8.5889966;3.3173951;568.56739;2824.378;2669.0264;1686.6913;1.8306969000000002;676.37563;2180.6854;375.3667;900.81446;150.43711;7.119250500000001;103.35131;587.23954;97.369523;664.44751;224.31661;34.301575;;35.112044;260.16578;157.03161;180.04378;6.9167895999999995;1221.1526;626.69263;360.8501;20.20868;955.68458;2078.15;659.55542;;4.1954224;274.73584;16.786054999999998;145.16216;8.3477417;437.0459;15.950125;;183.33368;10.596197;189.13715;0.89286866;7363.4219;602.28882;12503.715;838.69019;134.60842;2007.8062;1529.6001;135.36872;2749.0307000000003;98.849946;901.62125;947.40821;93.559174;;8390.1875;181.67791;;546.198;851.395;259.70826;114.52501;83.457612;3.6749511999999998;723.11377;14.564360999999998;21.670538;0.97297272;698.37623;505.97046;2269.5709;6.8649659;30.632669;346.91114;;1212.4305;450.98951;2683.9925;1612.9369;353.90113;446.74146;4.415503;442.20386;279.26246;5413.7188;102.53815;8748.6563;1094.0379;467.12793;5.4807714999999995;104.54545;302.5542;5582.8594;11451.372;6.915271000000001;7672.7305;29468.997;1.2142856;1700.1063;;1.8928486;600.64551;;12.564065000000001;316.19459;2.4741672;2366.7632;383.46265;462.03443;507.71436;477.12452;;;12.106539;4.3306177;;;102.69999;0.61221253;113.93885;569.51221;108.2454;;306.94678;190.67961;314.98194;671.38428;5.1056641;1.7638253;40819.958;1042.8108;189.39513;173.76297;202.64759
2014-09-11;1.1839997;3314.6294;163.04442;54.91977;224.52303;344.86988;156.11945;2050.7408;1323.3084;6.2690845;1.7372228;583.51197;8.2126392;3.301399;579.59302;2795.4144;2662.8167;1666.6594;1.8774848;665.77438;2167.0406;373.08301;881.98194;150.57465;7.059939000000001;101.08104;586.77532;97.731522;658.8191;222.8344;34.301575;;34.654065;258.55567;156.83143;181.18691;6.9229029;1224.5401;617.33912;364.30469;20.154786;954.85425;2091.8943;658.02735;;4.0976417;270.82447;16.688738;144.7595;8.329096700000001;430.75733;15.857031999999998;;184.46502;10.506985;184.42243;0.89649811;7346.6485;605.74805;12374.278;835.90992;135.10666;2003.7171;1511.6978;135.73205;2741.1694;97.749939;885.36125;943.82886;93.195115;;8308.4766;179.39545;;546.198;831.21688;259.06934;114.52501;89.355912;3.6076368000000003;736.85499;14.502901;21.759636999999998;0.9554055800000001;694.30616;504.31788;2267.5965;6.790656800000001;30.775145000000002;345.5962;;1220.1678;450.02955;2707.1368;1618.8063;353.52466;449.5962;4.3885621;440.04371;279.63477;5419.5391;101.38971;8765.2774;1096.616;460.77247;5.5085523;106.29543;301.6233;5526.3165;11413.497;6.920637299999999;7635.5625;29124.184;1.202381;1704.9756;;1.8593621999999999;601.59473;;12.377859;316.82569;2.4268644;2355.9683;382.06714;462.57154;503.61988;473.63086;;;12.289100000000001;4.45323;;;104.29999;0.59970627;111.19333;564.27002;107.7782;;308.71705;189.27067;316.5542;667.57715;5.1145655;1.7156449;40745.563;1061.6959;190.63025;176.70805000000001;200.88112
